Demand,WorkDay,Temperature,Date
174.896295326,0,26,2013-01-01
188.590934892,1,23,2013-01-02
188.91689062,1,22.2,2013-01-03
173.814244214,0,20.3,2013-01-04
169.515174872,0,26.1,2013-01-05
195.728794834,1,19.6,2013-01-06
199.902887696,1,20,2013-01-07
205.337529316,1,27.4,2013-01-08
228.07820422,1,32.4,2013-01-09
258.598386836,1,34,2013-01-10
201.797008908,0,22.4,2013-01-11
187.629785594,0,22.5,2013-01-12
254.663606842,1,30,2013-01-13
322.232255032,1,42.4,2013-01-14
343.993353528,1,41.5,2013-01-15
347.637557646,1,43.2,2013-01-16
332.945502716,1,43.1,2013-01-17
219.751693702,0,23.7,2013-01-18
186.981555158,0,22.3,2013-01-19
228.487553532,1,24,2013-01-20
222.36502675,1,23.1,2013-01-21
220.466929546,1,23.3,2013-01-22
240.580637894,1,29.6,2013-01-23
224.665187786,1,22.1,2013-01-24
181.149785498,0,20.3,2013-01-25
182.223086342,0,27,2013-01-26
230.222630786,0,34.5,2013-01-27
309.374424338,1,41.4,2013-01-28
243.223913258,1,24.5,2013-01-29
258.389551002,1,29.2,2013-01-30
259.305270078,1,26.8,2013-01-31
241.31848797,0,29.2,2013-02-01
264.505049836,0,38.6,2013-02-02
264.955610774,1,33.9,2013-02-03
221.680710242,1,25.7,2013-02-04
237.149770986,1,30.5,2013-02-05
276.413439262,1,35.1,2013-02-06
283.315457006,1,35.6,2013-02-07
272.508421892,0,40,2013-02-08
243.629811052,0,39.5,2013-02-09
223.084473768,1,24.7,2013-02-10
238.787088348,1,26.2,2013-02-11
252.236563172,1,26.9,2013-02-12
250.903040492,1,26.6,2013-02-13
242.455765938,1,26.6,2013-02-14
214.2725871,0,28.7,2013-02-15
175.293506572,0,23,2013-02-16
216.41037534,1,25.3,2013-02-17
232.637631876,1,30.2,2013-02-18
222.362212674,1,25.4,2013-02-19
210.203074572,1,20.3,2013-02-20
211.63697823,1,20.4,2013-02-21
186.799502978,0,19.6,2013-02-22
178.232233994,0,22.9,2013-02-23
221.685421236,1,24.3,2013-02-24
237.559519164,1,32.7,2013-02-25
220.509299024,1,21.8,2013-02-26
216.788000444,1,21.5,2013-02-27
214.887519558,1,23.5,2013-02-28
193.53879341,0,23.1,2013-03-01
183.354964932,0,22.3,2013-03-02
228.382493082,1,25,2013-03-03
255.374052196,1,33.3,2013-03-04
233.962163338,1,25.6,2013-03-05
216.470282328,1,20.8,2013-03-06
215.960731656,1,22.5,2013-03-07
194.569924848,0,27.8,2013-03-08
200.780368924,0,32.7,2013-03-09
213.91601553,0,32.1,2013-03-10
240.581826218,1,31.1,2013-03-11
220.376579918,1,21.8,2013-03-12
219.122627882,1,22.7,2013-03-13
223.930963028,1,26.2,2013-03-14
191.977954408,0,29.1,2013-03-15
172.960154572,0,20.3,2013-03-16
212.669337542,1,24.7,2013-03-17
216.799245608,1,24.1,2013-03-18
215.956212578,1,22.2,2013-03-19
226.828705024,1,30.7,2013-03-20
221.975617464,1,22.9,2013-03-21
186.249094462,0,19.4,2013-03-22
179.274619262,0,18.7,2013-03-23
213.566742194,1,18.8,2013-03-24
214.613345464,1,24.4,2013-03-25
217.41287881,1,26.9,2013-03-26
221.790532056,1,25.3,2013-03-27
214.881351502,1,21.5,2013-03-28
185.212055566,0,23.6,2013-03-29
181.795096428,0,25.9,2013-03-30
230.663662492,1,30.1,2013-03-31
253.290102574,1,32.9,2013-04-01
235.528924916,1,26,2013-04-02
222.700405572,1,18.2,2013-04-03
218.932024318,1,19.7,2013-04-04
192.15175974,0,24.1,2013-04-05
182.59510412,0,24.3,2013-04-06
218.474476344,1,24.5,2013-04-07
226.201756238,1,22,2013-04-08
225.599344182,1,17.8,2013-04-09
223.880770978,1,18.9,2013-04-10
220.39874308,1,18.9,2013-04-11
189.730219148,0,22.4,2013-04-12
180.797405356,0,21.5,2013-04-13
212.901439274,1,20.7,2013-04-14
216.103419866,1,21.1,2013-04-15
218.360304206,1,21.6,2013-04-16
215.11368572,1,24.3,2013-04-17
177.747405774,0,18.8,2013-04-18
183.793998112,0,17.3,2013-04-19
178.949754048,0,18.3,2013-04-20
181.331985508,0,18.1,2013-04-21
219.845587538,1,17.6,2013-04-22
218.903697038,1,19.2,2013-04-23
217.970766998,1,18.3,2013-04-24
189.681557562,0,20.5,2013-04-25
189.352187122,0,19.2,2013-04-26
186.17611612,0,17.2,2013-04-27
222.725282768,1,21.3,2013-04-28
226.893987516,1,22.3,2013-04-29
227.838250562,1,17.6,2013-04-30
234.15135243,1,15.6,2013-05-01
234.875479598,1,13.9,2013-05-02
205.593756248,0,17,2013-05-03
203.667041488,0,13.7,2013-05-04
237.88574823,1,16.4,2013-05-05
240.61531435,1,16,2013-05-06
240.363389046,1,16.2,2013-05-07
241.350194426,1,18.4,2013-05-08
236.749702332,1,18.3,2013-05-09
206.34550193,0,16.3,2013-05-10
192.715953152,0,19.7,2013-05-11
229.354390942,1,19.9,2013-05-12
230.016404656,1,20.1,2013-05-13
224.46371096,1,20.2,2013-05-14
216.959205084,1,22.4,2013-05-15
212.630536434,1,22.8,2013-05-16
188.999065818,0,20,2013-05-17
181.507468084,0,21.4,2013-05-18
217.062319264,1,22.8,2013-05-19
224.377063876,1,21.6,2013-05-20
221.94096546,1,23.1,2013-05-21
222.489926686,1,20.9,2013-05-22
221.565872944,1,20.3,2013-05-23
195.66685867,0,17.1,2013-05-24
190.31111951,0,20.2,2013-05-25
226.050989726,1,20.8,2013-05-26
226.917460584,1,21.7,2013-05-27
230.292681426,1,18,2013-05-28
234.660413654,1,15.8,2013-05-29
231.84855445,1,17.7,2013-05-30
201.038256576,0,18.4,2013-05-31
199.712859758,0,14.9,2013-06-01
232.58764709,1,16.4,2013-06-02
235.011377108,1,16.4,2013-06-03
230.997025364,1,18.1,2013-06-04
232.087479466,1,16.7,2013-06-05
234.6715011,1,15.4,2013-06-06
202.432333296,0,16.8,2013-06-07
196.719661858,0,14.9,2013-06-08
206.504624442,0,15.4,2013-06-09
235.778186192,1,18.3,2013-06-10
241.099380104,1,16.2,2013-06-11
243.616722524,1,16.2,2013-06-12
237.212577078,1,16.5,2013-06-13
212.136561988,0,15.2,2013-06-14
203.35819459,0,16,2013-06-15
241.320649452,1,17,2013-06-16
244.756767862,1,15.8,2013-06-17
244.58834475,1,14.2,2013-06-18
252.897449834,1,12.2,2013-06-19
239.69476055,1,15.1,2013-06-20
211.049436444,0,15,2013-06-21
205.688831308,0,15.4,2013-06-22
245.357649132,1,14.4,2013-06-23
261.774488502,1,14.3,2013-06-24
248.247620102,1,15.7,2013-06-25
243.389594624,1,15.6,2013-06-26
241.59153925,1,14.5,2013-06-27
218.874063062,0,12.7,2013-06-28
220.295310302,0,11,2013-06-29
255.00559694,1,13.1,2013-06-30
254.810112552,1,13.1,2013-07-01
245.086450906,1,16.6,2013-07-02
247.866872026,1,12.4,2013-07-03
249.052042996,1,12.4,2013-07-04
218.406723026,0,15.2,2013-07-05
212.914845934,0,13.9,2013-07-06
241.260002962,1,15.7,2013-07-07
242.972463762,1,14.3,2013-07-08
257.599072426,1,13.3,2013-07-09
257.98055023,1,14.7,2013-07-10
247.654738106,1,14.4,2013-07-11
227.028991406,0,11.1,2013-07-12
220.939721336,0,14.9,2013-07-13
258.828692886,1,13.1,2013-07-14
264.18271463,1,12.9,2013-07-15
253.523189944,1,14.6,2013-07-16
259.805011266,1,12.1,2013-07-17
256.235468698,1,13.8,2013-07-18
223.482490216,0,13.2,2013-07-19
215.77484077,0,13.2,2013-07-20
258.827803342,1,12.9,2013-07-21
268.984564334,1,12.2,2013-07-22
267.235454746,1,13.4,2013-07-23
269.354395358,1,14.9,2013-07-24
253.27478474,1,15.9,2013-07-25
223.156768042,0,14.9,2013-07-26
211.216041898,0,16.8,2013-07-27
242.072527,1,16.7,2013-07-28
246.404601926,1,16.5,2013-07-29
237.884147744,1,18.9,2013-07-30
239.61865251,1,19.3,2013-07-31
263.314798322,1,9.8,2013-08-01
227.57694229,0,13.4,2013-08-02
221.635011384,0,14.2,2013-08-03
256.61974377,1,15.2,2013-08-04
250.481639172,1,16.5,2013-08-05
246.815479278,1,15.9,2013-08-06
252.00979398,1,13.6,2013-08-07
243.56900637,1,15.9,2013-08-08
217.18736036,0,14.6,2013-08-09
212.913591254,0,13.6,2013-08-10
261.058640828,1,12.7,2013-08-11
262.47509844,1,12.7,2013-08-12
253.515558168,1,14.5,2013-08-13
249.853049548,1,14.8,2013-08-14
244.954895408,1,16.9,2013-08-15
221.146268684,0,13.3,2013-08-16
210.597724776,0,15.7,2013-08-17
250.250471944,1,13.6,2013-08-18
248.265012146,1,13.3,2013-08-19
247.303441168,1,13.3,2013-08-20
242.793715624,1,17.4,2013-08-21
231.165211644,1,20.6,2013-08-22
202.580009638,0,19.9,2013-08-23
200.860669396,0,16.3,2013-08-24
239.126760428,1,16.1,2013-08-25
236.93225352,1,18.7,2013-08-26
233.073962462,1,19.5,2013-08-27
233.122114494,1,20,2013-08-28
233.82076382,1,15,2013-08-29
193.010548572,0,21,2013-08-30
189.32914646,0,21,2013-08-31
236.269643916,1,17.8,2013-09-01
238.223979566,1,16.1,2013-09-02
241.451697342,1,14.8,2013-09-03
241.705381812,1,15.9,2013-09-04
233.516562276,1,16.7,2013-09-05
198.104970102,0,18.9,2013-09-06
186.010421868,0,20.7,2013-09-07
218.227625498,1,20.8,2013-09-08
222.727432448,1,20.7,2013-09-09
222.021291692,1,19.1,2013-09-10
226.73725465,1,17.1,2013-09-11
231.368291744,1,15.9,2013-09-12
196.583377262,0,18.5,2013-09-13
185.043838964,0,20.1,2013-09-14
225.464064872,1,18,2013-09-15
235.698203312,1,14.8,2013-09-16
236.132883132,1,16.2,2013-09-17
241.150931614,1,13.7,2013-09-18
230.364015644,1,15.5,2013-09-19
199.898901276,0,16.8,2013-09-20
187.057023898,0,17.2,2013-09-21
217.468430896,1,23,2013-09-22
215.156355962,1,25.3,2013-09-23
215.46607728,1,23.5,2013-09-24
217.797838828,1,17,2013-09-25
214.799597462,1,19.3,2013-09-26
184.72685141,0,23.3,2013-09-27
177.315894968,0,27.9,2013-09-28
207.730453672,1,22.9,2013-09-29
218.174634644,1,23.8,2013-09-30
224.694193116,1,15.9,2013-10-01
224.902387284,1,17.4,2013-10-02
212.365593856,1,18.1,2013-10-03
183.748682574,0,26.2,2013-10-04
173.583948884,0,19.2,2013-10-05
221.161395562,1,25,2013-10-06
216.720937392,1,17.7,2013-10-07
221.225142232,1,18.7,2013-10-08
217.726724034,1,23.1,2013-10-09
213.9396859,1,24.9,2013-10-10
186.21909401,0,21.2,2013-10-11
181.445632594,0,27.5,2013-10-12
222.122176916,1,15.5,2013-10-13
228.70363741,1,16.9,2013-10-14
225.683273886,1,17.1,2013-10-15
224.579852372,1,16.7,2013-10-16
214.555146346,1,18.1,2013-10-17
191.73906361,0,24.2,2013-10-18
183.938925838,0,28.8,2013-10-19
213.214673408,1,20.6,2013-10-20
222.909608248,1,28.2,2013-10-21
233.001612532,1,31.1,2013-10-22
224.634842454,1,22.7,2013-10-23
227.945416738,1,30.4,2013-10-24
193.219834956,0,19.8,2013-10-25
182.96065429,0,24.5,2013-10-26
212.938331098,1,22.5,2013-10-27
220.959579176,1,19.7,2013-10-28
218.727451384,1,22.5,2013-10-29
218.745918194,1,21.8,2013-10-30
226.761522642,1,32.7,2013-10-31
187.83642766,0,20.3,2013-11-01
186.301853994,0,16.6,2013-11-02
200.563410818,1,23.3,2013-11-03
186.938436556,0,28.9,2013-11-04
206.637651804,1,17.8,2013-11-05
211.98566052,1,23.5,2013-11-06
227.213164292,1,32.8,2013-11-07
205.428282246,0,34.6,2013-11-08
176.059747074,0,19.4,2013-11-09
211.92385876,1,20.2,2013-11-10
215.32009558,1,18.8,2013-11-11
222.263459936,1,24.3,2013-11-12
239.606633534,1,30.6,2013-11-13
223.682012828,1,27.7,2013-11-14
189.563654246,0,18,2013-11-15
182.01313893,0,18.1,2013-11-16
208.354625974,1,20.1,2013-11-17
211.810515936,1,20.9,2013-11-18
217.470160668,1,29.6,2013-11-19
228.777412488,1,28.1,2013-11-20
215.288976858,1,23,2013-11-21
196.059202574,0,30.8,2013-11-22
187.25928332,0,25,2013-11-23
222.551242116,1,19.6,2013-11-24
213.939724822,1,21.8,2013-11-25
218.065623676,1,18.7,2013-11-26
214.940029368,1,19.4,2013-11-27
212.501729262,1,20.5,2013-11-28
193.78475622,0,24.3,2013-11-29
213.238264002,0,34.1,2013-11-30
242.498274678,1,29,2013-12-01
232.734645642,1,26,2013-12-02
228.061684822,1,23.5,2013-12-03
235.996219864,1,26.4,2013-12-04
224.09234761,1,21.2,2013-12-05
192.155474594,0,22.5,2013-12-06
185.843695436,0,17.7,2013-12-07
216.096648906,1,21.2,2013-12-08
217.011085956,1,20.8,2013-12-09
219.859502272,1,21.1,2013-12-10
215.758019682,1,21.4,2013-12-11
219.162764972,1,27.4,2013-12-12
209.452023786,0,31.2,2013-12-13
196.849619224,0,25.9,2013-12-14
228.249638966,1,23.4,2013-12-15
231.096718844,1,32.1,2013-12-16
214.1461543,1,22.3,2013-12-17
216.358081376,1,24,2013-12-18
206.028620072,1,19.9,2013-12-19
189.045337286,0,23,2013-12-20
204.03977797,0,33.3,2013-12-21
230.44480843,1,24.7,2013-12-22
219.498078628,1,26.7,2013-12-23
192.94256159,1,22.2,2013-12-24
166.698403366,0,23.4,2013-12-25
166.856708026,0,20.1,2013-12-26
173.727990102,0,22.2,2013-12-27
188.512817316,0,31.2,2013-12-28
191.273009036,1,26.2,2013-12-29
186.240144172,1,24.4,2013-12-30
186.370181072,1,25.5,2013-12-31
